day,type,severity
7,terminal_advisory,warning
8,terminal_advisory,warning
9,terminal_advisory,warning
10,terminal_advisory,warning
11,terminal_advisory,warning
12,terminal_advisory,warning
13,terminal_advisory,warning
14,terminal_advisory,warning
15,terminal_advisory,critical
16,terminal_advisory,terminal
17,terminal_advisory,terminal
18,terminal_advisory,terminal
19,terminal_advisory,terminal
20,terminal_advisory,terminal
21,terminal_advisory,terminal
22,terminal_advisory,terminal
23,terminal_advisory,terminal
24,terminal_advisory,terminal
25,terminal_advisory,terminal
26,terminal_advisory,terminal
27,terminal_advisory,terminal
28,terminal_advisory,terminal
29,terminal_advisory,terminal
30,terminal_advisory,terminal
