day,type,severity
26,reactive_shutdown,critical
26,reactive_shutdown,critical
26,reactive_shutdown,critical
26,reactive_shutdown,critical
26,reactive_shutdown,critical
26,reactive_shutdown,critical
26,reactive_shutdown,critical
26,reactive_shutdown,critical
26,reactive_shutdown,critical
26,reactive_shutdown,critical
26,reactive_shutdown,critical
26,reactive_shutdown,critical
26,reactive_shutdown,critical
26,reactive_shutdown,critical
26,reactive_shutdown,critical
26,reactive_shutdown,critical
26,reactive_shutdown,critical
26,reactive_shutdown,critical
26,reactive_shutdown,critical
26,reactive_shutdown,critical
26,reactive_shutdown,critical
26,reactive_shutdown,critical
26,reactive_shutdown,critical
26,reactive_shutdown,critical
27,reactive_shutdown,critical
27,reactive_shutdown,critical
27,reactive_shutdown,critical
27,reactive_shutdown,critical
27,reactive_shutdown,critical
27,reactive_shutdown,critical
27,reactive_shutdown,critical
27,reactive_shutdown,critical
27,reactive_shutdown,critical
27,reactive_shutdown,critical
27,reactive_shutdown,critical
27,reactive_shutdown,critical
27,reactive_shutdown,critical
27,reactive_shutdown,critical
27,reactive_shutdown,critical
27,reactive_shutdown,critical
27,reactive_shutdown,critical
27,reactive_shutdown,critical
27,reactive_shutdown,critical
27,reactive_shutdown,critical
27,reactive_shutdown,critical
27,reactive_shutdown,critical
27,reactive_shutdown,critical
27,reactive_shutdown,critical
28,reactive_shutdown,critical
28,reactive_shutdown,critical
28,reactive_shutdown,critical
28,reactive_shutdown,critical
28,reactive_shutdown,critical
28,reactive_shutdown,critical
28,reactive_shutdown,critical
28,reactive_shutdown,critical
28,reactive_shutdown,critical
28,reactive_shutdown,critical
28,reactive_shutdown,critical
28,reactive_shutdown,critical
28,reactive_shutdown,critical
28,reactive_shutdown,critical
28,reactive_shutdown,critical
28,reactive_shutdown,critical
28,reactive_shutdown,critical
28,reactive_shutdown,critical
28,reactive_shutdown,critical
28,reactive_shutdown,critical
28,reactive_shutdown,critical
28,reactive_shutdown,critical
28,reactive_shutdown,critical
28,reactive_shutdown,critical
29,reactive_shutdown,critical
29,reactive_shutdown,critical
29,reactive_shutdown,critical
29,reactive_shutdown,critical
29,reactive_shutdown,critical
29,reactive_shutdown,critical
29,reactive_shutdown,critical
29,reactive_shutdown,critical
29,reactive_shutdown,critical
29,reactive_shutdown,critical
29,reactive_shutdown,critical
29,reactive_shutdown,critical
29,reactive_shutdown,critical
29,reactive_shutdown,critical
29,reactive_shutdown,critical
29,reactive_shutdown,critical
29,reactive_shutdown,critical
29,reactive_shutdown,critical
29,reactive_shutdown,critical
29,reactive_shutdown,critical
29,reactive_shutdown,critical
29,reactive_shutdown,critical
29,reactive_shutdown,critical
29,reactive_shutdown,critical
30,reactive_shutdown,critical
30,reactive_shutdown,critical
30,reactive_shutdown,critical
30,reactive_shutdown,critical
30,reactive_shutdown,critical
30,reactive_shutdown,critical
30,reactive_shutdown,critical
30,reactive_shutdown,critical
30,reactive_shutdown,critical
30,reactive_shutdown,critical
30,reactive_shutdown,critical
30,reactive_shutdown,critical
30,reactive_shutdown,critical
30,reactive_shutdown,critical
30,reactive_shutdown,critical
30,reactive_shutdown,critical
30,reactive_shutdown,critical
30,reactive_shutdown,critical
30,reactive_shutdown,critical
30,reactive_shutdown,critical
30,reactive_shutdown,critical
30,reactive_shutdown,critical
30,reactive_shutdown,critical
30,reactive_shutdown,critical
31,reactive_shutdown,critical
